"","masked_user_id","question_id","rating"
"1","035f412b","2850",0.0064
"2","035f412b","4112",0.0064
"3","035f412b","7235",0.0064
"4","035f412b","7943",0.0064
"5","035f412b","9532",0.0064
"6","035f412b","9646",0.0064
"7","035f412b","10124",0.0064
"8","035f412b","10301",0.0064
"9","035f412b","10987",0.0064
"10","035f412b","11002",0.0064
"11","035f412b","11003",0.0064
"12","035f412b","12187",0.0064
"13","035f412b","12881",0.0064
"14","035f412b","12890",0.0064
"15","035f412b","13030",0.0064
"16","035f412b","13084",0.0064
"17","035f412b","13168",0.0064
"18","035f412b","14038",0.0064
"19","035f412b","14044",0.0064
"20","035f412b","14045",0.0064
"21","035f412b","14194",0.0064
"22","035f412b","14195",0.0064
"23","035f412b","14386",0.0064
"24","035f412b","14387",0.0064
"25","035f412b","14518",0.0064
"26","035f412b","14520",0.0064
"27","035f412b","14526",0.0064
"28","035f412b","14527",0.0064
"29","035f412b","14589",0.0064
"30","035f412b","15341",0.0064
"31","035f412b","15349",0.0064
"32","035f412b","15350",0.0064
"33","035f412b","16043",0.0064
"34","035f412b","16066",0.0064
"35","035f412b","16067",0.0064
"36","035f412b","16075",0.0064
"37","035f412b","16469",0.0064
"38","035f412b","16645",0.0064
"39","035f412b","17120",0.0064
"40","035f412b","17121",0.0064
"41","035f412b","17129",0.0064
"42","035f412b","17417",0.0064
"43","035f412b","17418",0.0064
"44","035f412b","17558",0.0064
"45","035f412b","17800",0.0064
"46","035f412b","17830",0.0064
"47","035f412b","17858",0.0064
"48","035f412b","18484",0.0064
"49","035f412b","18824",0.0064
"50","035f412b","18831",0.0064
"51","108ae76d","12891",0.0059
"52","108ae76d","17831",0.0059
"53","108ae76d","21654",0.0059
"54","108ae76d","12883",0.0063
"55","108ae76d","12897",0.0063
"56","108ae76d","21644",0.0063
"57","108ae76d","12881",0.0066
"58","108ae76d","10989",0.0067
"59","108ae76d","12886",0.0067
"60","108ae76d","12895",0.0067
"61","108ae76d","14586",0.0067
"62","108ae76d","16042",0.0068
"63","108ae76d","21652",0.0068
"64","108ae76d","21667",0.0068
"65","108ae76d","21670",0.0068
"66","108ae76d","16453",0.0032
"67","108ae76d","16454",0.0032
"68","108ae76d","16455",0.0032
"69","108ae76d","16456",0.0032
"70","108ae76d","16458",0.0032
"71","108ae76d","16459",0.0032
"72","108ae76d","16460",0.0032
"73","108ae76d","16461",0.0032
"74","108ae76d","16462",0.0032
"75","108ae76d","16463",0.0032
"76","108ae76d","16464",0.0032
"77","108ae76d","16466",0.0032
"78","108ae76d","16467",0.0032
"79","108ae76d","16468",0.0032
"80","108ae76d","16469",0.0032
"81","108ae76d","16470",0.0032
"82","108ae76d","16471",0.0032
"83","108ae76d","16472",0.0032
"84","108ae76d","16634",0.0032
"85","108ae76d","16635",0.0032
"86","108ae76d","16636",0.0032
"87","108ae76d","16637",0.0032
"88","108ae76d","16638",0.0032
"89","108ae76d","16645",0.0032
"90","108ae76d","16646",0.0032
"91","108ae76d","16647",0.0032
"92","108ae76d","16648",0.0032
"93","108ae76d","16649",0.0032
"94","108ae76d","17228",0.0032
"95","108ae76d","17229",0.0032
"96","108ae76d","17230",0.0032
"97","108ae76d","2855",0.0059
"98","108ae76d","4117",0.0059
"99","108ae76d","7246",0.0059
"100","108ae76d","7935",0.0059
"101","22408aad","16093",0.0045
"102","22408aad","18580",0.0049
"103","22408aad","18824",0.0049
"104","22408aad","16030",0.005
"105","22408aad","10982",0.0059
"106","22408aad","20297",0.0059
"107","22408aad","12190",0.0045
"108","22408aad","14277",0.0045
"109","22408aad","16071",0.0045
"110","22408aad","16079",0.0045
"111","22408aad","17125",0.0045
"112","22408aad","17228",0.0045
"113","22408aad","17230",0.0045
"114","22408aad","17782",0.0045
"115","22408aad","17784",0.0045
"116","22408aad","17794",0.0045
"117","22408aad","17796",0.0045
"118","22408aad","17856",0.0045
"119","22408aad","19114",0.0045
"120","22408aad","19520",0.0045
"121","22408aad","20334",0.0045
"122","22408aad","22600",0.0045
"123","22408aad","22602",0.0045
"124","22408aad","7235",0.0049
